file_id,data_format,data_type,sample_type,tissue_type,created_datetime,updated_datetime,case_id
00252d7f-e222-462f-badc-b97e8dce2021,TSV,Gene Expression Quantification,Solid Tissue Normal,Normal,2021-12-13T19:14:14.361820-06:00,2024-07-30T11:17:47.643354-05:00,f1ae0181-74f8-47fd-83be-83a7d01101cc
fd09fcbe-91fd-4b0c-97d4-d641d05f6ee8,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T00:09:14.982109-05:00,2024-07-29T21:34:48.176111-05:00,c15d5920-4f59-4e31-9ba6-1f2de8ab5d5d
7947afe8-e62c-4d32-81d6-5eb44fd1cea6,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:10:57.814317-06:00,2024-07-30T11:15:03.272108-05:00,c15d5920-4f59-4e31-9ba6-1f2de8ab5d5d
07857799-d6eb-4a80-83b5-aad368e6cd3c,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:18:25.365077-06:00,2024-07-30T10:58:39.256460-05:00,f217a4f9-d8d8-440e-b73a-5f0448b58c4f
9a19cc09-a6ac-4875-87d1-55a11e012722,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T00:16:05.303968-05:00,2024-07-29T21:23:19.654954-05:00,f217a4f9-d8d8-440e-b73a-5f0448b58c4f
a5d12d73-00a0-45fd-8278-c33dfac9f44d,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-19T23:47:36.033620-05:00,2024-07-29T21:24:34.275292-05:00,3c5f27e9-db2f-4963-9240-94815808d32f
3b473c49-9140-4d1d-b9f9-0c9056e93d8a,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:33:09.854061-06:00,2024-07-30T11:13:12.246935-05:00,3c5f27e9-db2f-4963-9240-94815808d32f
0bae1306-19af-4070-aa73-522242ba7d11,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T00:32:44.599239-05:00,2024-07-29T21:07:02.312815-05:00,3c5f27e9-db2f-4963-9240-94815808d32f
6d53b81e-f740-40de-8375-63f2004f9b21,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-19T23:44:08.013340-05:00,2024-07-29T21:18:23.546033-05:00,f2b93fbd-5848-46e2-978e-ba84e810e0dc
52433ea4-d6cc-4d21-a1af-d62c3e9c5d77,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:39:20.243217-06:00,2024-07-30T10:59:58.502190-05:00,f2b93fbd-5848-46e2-978e-ba84e810e0dc
4a2da9f0-b75d-466c-b9f0-2e910ee24365,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:15:52.486110-06:00,2024-07-30T11:06:17.204378-05:00,52e9daf0-288b-4220-bd44-0b6147fd951c
4d0e779a-8db2-4d4d-baf7-675dd0b0aec0,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T00:24:06.822806-05:00,2024-07-29T21:14:45.911289-05:00,52e9daf0-288b-4220-bd44-0b6147fd951c
9fcad9fb-d462-477d-83eb-3ced33fa91c3,TXT,Isoform Expression Quantification,Solid Tissue Normal,Normal,2018-03-19T23:45:31.753879-05:00,2024-07-29T21:23:52.398053-05:00,514af471-31d2-43fa-88dc-8639a5e97181
4d6e5f5f-ab63-49a6-9a53-a89b7ef76783,TSV,Gene Expression Quantification,Solid Tissue Normal,Normal,2021-12-13T19:31:01.545668-06:00,2024-07-30T10:53:58.375838-05:00,514af471-31d2-43fa-88dc-8639a5e97181
9ea5c78a-10b6-4e76-a588-4a169817d01c,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:29:59.338684-06:00,2024-07-30T10:54:58.957975-05:00,514af471-31d2-43fa-88dc-8639a5e97181
ac9bbc7f-66b4-4513-b2b7-d73e0492deee,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-19T23:47:36.033620-05:00,2024-07-29T21:25:28.822277-05:00,514af471-31d2-43fa-88dc-8639a5e97181
61894bd0-9fdb-4bb1-b32c-f52dbc10c850,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:23:48.703490-06:00,2024-07-30T11:02:17.815938-05:00,7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca
08dd1236-5f3f-4620-b0ee-f1d8f89699f1,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-19T23:47:36.033620-05:00,2024-07-29T21:06:57.579961-05:00,7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca
bdb74506-8766-42e1-922e-e03da4637a70,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:05:40.926507-06:00,2024-07-30T11:13:38.295882-05:00,7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca
307fc027-0530-452b-8fa9-d46f7fc73d0e,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:04:47.831519-06:00,2024-07-30T11:07:08.441402-05:00,7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca
52f6af2c-5b86-4c1e-ba81-b331139e002e,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-19T23:43:21.888100-05:00,2024-07-29T21:15:34.949051-05:00,7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca
8a653921-ed0f-4e23-bd9c-9e84dd3de56c,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-19T23:43:21.888100-05:00,2024-07-29T21:21:50.722692-05:00,7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca
1d4c5088-5f7a-4ac9-8a04-46288af80215,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T19:42:34.055821-06:00,2024-07-30T11:10:23.159143-05:00,2d7e2ae4-09ba-40af-82ce-66ac7dbd4831
6157ce17-dc52-4fa3-8579-88c73dc562e1,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-19T23:53:58.957811-05:00,2024-07-29T21:17:05.639170-05:00,2d7e2ae4-09ba-40af-82ce-66ac7dbd4831
