id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-493-3p,hsa-miR-493-3p,MicroRNA,1.0,0,1,0.0006964043365784,0.1337669808398601,0.0007350238882763,0.0
hsa-miR-222-3p,hsa-miR-222-3p,MicroRNA,1.0,0,1,0.0005171023783781,0.1342183545708831,0.0018375597206909,0.3
hsa-miR-187-3p,hsa-miR-187-3p,MicroRNA,1.0,0,1,0.0,0.1235440761780211,0.0003675119441381,
hsa-miR-193a-3p,hsa-miR-193a-3p,MicroRNA,1.0,0,1,0.0021330659535656,0.1867086653078871,0.0025725836089672,0.1428571428571428
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA,1.0,0,1,0.0,0.0999173690299124,0.0003675119441381,
hsa-miR-20a-5p,hsa-miR-20a-5p,MicroRNA,1.0,4,0,,,,
hsa-miR-615-3p,hsa-miR-615-3p,MicroRNA,1.0,5,0,,,,
hsa-miR-760,hsa-miR-760,MicroRNA,1.0,0,1,0.0038550081817089,0.2084683814909316,0.0044101433296582,0.0303030303030303
hsa-miR-30b-5p,hsa-miR-30b-5p,MicroRNA,1.0,0,1,0.0006964043365784,0.1225822148331373,0.0007350238882763,0.0
hsa-miR-190a-5p,hsa-miR-190a-5p,MicroRNA,1.0,0,1,0.0006964043365784,0.196541187178987,0.0007350238882763,0.0
hsa-miR-551b-3p,hsa-miR-551b-3p,MicroRNA,1.0,0,1,0.0,0.1899943435359185,0.0003675119441381,
hsa-miR-328-3p,hsa-miR-328-3p,MicroRNA,1.0,0,1,0.001625389226194,0.2023833433755104,0.0018375597206909,0.0
hsa-miR-877-5p,hsa-miR-877-5p,MicroRNA,1.0,0,1,0.0014080905383772,0.2229844360846795,0.0018375597206909,0.1
hsa-miR-199b-3p,hsa-miR-199b-3p,MicroRNA,1.0,0,1,0.003134903188227,0.1561063774851536,0.0025725836089672,1.0
