accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000617,hsa-miR-200c-3p,LOX,-0.3004646622920165,2.465955992007461e-06
MIMAT0000617,hsa-miR-200c-3p,FAM126A,-0.3445189394031746,6.518148682850423e-08
MIMAT0000617,hsa-miR-200c-3p,BCL11B,-0.3165044703738597,7.019146463988534e-07
MIMAT0000617,hsa-miR-200c-3p,DZIP1,-0.3136697716294128,8.811901992315621e-07
MIMAT0000617,hsa-miR-200c-3p,ST3GAL2,-0.3145949841577644,8.183498980017199e-07
MIMAT0000617,hsa-miR-200c-3p,KCNJ15,-0.3060073632869729,1.6107834595703877e-06
MIMAT0000617,hsa-miR-200c-3p,FSTL1,-0.3215324549405267,4.661787444272653e-07
MIMAT0000617,hsa-miR-200c-3p,ZFPM2,-0.3216623093304707,4.612320470863743e-07
MIMAT0000617,hsa-miR-200c-3p,CRTAP,-0.3657132468791662,9.184556578263092e-09
MIMAT0000617,hsa-miR-200c-3p,PKIA,-0.3325224648094602,1.856621776106769e-07
MIMAT0000617,hsa-miR-200c-3p,MAF,-0.3546583098152605,2.5986230924466577e-08
MIMAT0000680,hsa-miR-106b-5p,CYBRD1,-0.3338805253042921,1.6528010070670177e-07
MIMAT0000680,hsa-miR-106b-5p,RASGRF2,-0.3165845472693217,6.973951914505416e-07
MIMAT0000680,hsa-miR-106b-5p,PLSCR4,-0.3278747597693785,2.752507542155495e-07
MIMAT0000680,hsa-miR-106b-5p,F3,-0.3184787125370085,5.982495815335894e-07
MIMAT0000680,hsa-miR-106b-5p,PLXDC2,-0.3045388437765119,1.80471249548542e-06
MIMAT0000680,hsa-miR-106b-5p,TBCEL,-0.3057616392818186,1.6417873307223324e-06
MIMAT0000680,hsa-miR-106b-5p,CYP2U1,-0.3004332808144467,2.4718475571498285e-06
MIMAT0000680,hsa-miR-106b-5p,PXYLP1,-0.3242940249666707,3.7115620602678233e-07
MIMAT0000680,hsa-miR-106b-5p,MARCHF8,-0.3079291254739685,1.3868325719787954e-06
MIMAT0000681,hsa-miR-29c-3p,FKBP14,-0.3778201067132982,2.8081690109388837e-09
