accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue
MIMAT0000065,hsa-let-7d-5p,TARBP2,,0.13809292311966107,0.9337240607887763,0.9999999999999991
MIMAT0000065,hsa-let-7d-5p,CYTH3,,-0.1846933814848253,0.021720435396563646,0.2016708626164025
MIMAT0000065,hsa-let-7d-5p,CHST3,,-0.13235641363983608,0.07478328751494957,0.36212104960044217
MIMAT0000065,hsa-let-7d-5p,AKAP6,,-0.023189110354885755,0.40075284744571615,0.7758202753923017
MIMAT0000065,hsa-let-7d-5p,CDC34,,0.0516355302451559,0.7122917359708629,0.9752859604736864
MIMAT0000065,hsa-let-7d-5p,DVL3,MIRT523983,0.06678241544551704,0.7656871918167014,0.9979577679970051
MIMAT0000065,hsa-let-7d-5p,TGFBR1,MIRT032178,-0.0641989027015765,0.24301974577929025,0.624351241410317
MIMAT0000065,hsa-let-7d-5p,MAP3K13,,0.05612889784012778,0.7287065842440615,0.9822900810956999
MIMAT0000065,hsa-let-7d-5p,HDLBP,,-0.18706160150010415,0.020387814327560348,0.1954191840882026
MIMAT0000065,hsa-let-7d-5p,ZNF784,,0.18187374123202998,0.9765989688552266,0.9999999999999991
MIMAT0000065,hsa-let-7d-5p,PLPP6,,-0.04713521772345301,0.30459842676863597,0.6908717223094031
MIMAT0000065,hsa-let-7d-5p,IGSF1,,0.0385687175650237,0.6621114471265335,0.9489787692087542
MIMAT0000065,hsa-let-7d-5p,SPRYD4,MIRT032172,0.07628307521355648,0.7961931167001395,0.9999999999999991
MIMAT0000065,hsa-let-7d-5p,FREM2,,-0.08739679661925957,0.17126432245405032,0.529910620702437
MIMAT0000065,hsa-let-7d-5p,SKIDA1,,0.0017362316827557469,0.5075078110087455,0.8567315519894058
MIMAT0000065,hsa-let-7d-5p,SAMD12,,-0.12014028751996664,0.09560036476496482,0.40604265108932597
MIMAT0000065,hsa-let-7d-5p,XKRX,,0.08475256051224753,0.8213069897293592,0.9999999999999991
MIMAT0000065,hsa-let-7d-5p,PPP1R15B,MIRT470424,-0.144412806444892,0.05778238360759299,0.32091319761609166
MIMAT0000065,hsa-let-7d-5p,NCOR1,,-0.12750190985485102,0.08260428463877113,0.37929241515654344
MIMAT0000065,hsa-let-7d-5p,APC2,,-0.007264393360650045,0.4686175096538137,0.8271174385825447
MIMAT0000065,hsa-let-7d-5p,TAB2,,-0.04080144454476005,0.3290769220486085,0.7133032066455622
