gene_id,gene_name,is_expressed
ENSG00000047346.12,FAM214A,1
ENSG00000047365.12,ARAP2,1
ENSG00000047410.14,TPR,1
ENSG00000047457.14,CP,1
ENSG00000047578.13,KATNIP,1
ENSG00000047579.20,DTNBP1,1
ENSG00000047597.7,XK,1
ENSG00000047617.15,ANO2,1
ENSG00000047621.12,C12orf4,1
ENSG00000047634.15,SCML1,1
ENSG00000047644.19,WWC3,1
ENSG00000047648.23,ARHGAP6,1
ENSG00000047662.5,FAM184B,1
ENSG00000047849.21,MAP4,1
ENSG00000047932.14,GOPC,1
ENSG00000047936.11,ROS1,1
ENSG00000048028.11,USP28,1
ENSG00000048052.22,HDAC9,1
ENSG00000048140.18,TSPAN17,1
ENSG00000048162.21,NOP16,1
ENSG00000048342.17,CC2D2A,1
ENSG00000048392.12,RRM2B,1
ENSG00000048405.10,ZNF800,1
ENSG00000048462.11,TNFRSF17,1
ENSG00000048471.14,SNX29,1
ENSG00000048540.15,LMO3,1
ENSG00000048544.6,MRPS10,1
ENSG00000048545.16,GUCA1A,0
ENSG00000048649.13,RSF1,1
ENSG00000048707.15,VPS13D,1
ENSG00000048740.18,CELF2,1
ENSG00000048828.17,FAM120A,1
ENSG00000048991.16,R3HDM1,1
ENSG00000049089.15,COL9A2,1
ENSG00000049130.16,KITLG,1
ENSG00000049167.15,ERCC8,1
ENSG00000049192.15,ADAMTS6,1
ENSG00000049239.13,H6PD,1
ENSG00000049245.13,VAMP3,1
ENSG00000049246.14,PER3,1
ENSG00000049247.14,UTS2,1
ENSG00000049249.9,TNFRSF9,1
ENSG00000049283.18,EPN3,1
ENSG00000049323.16,LTBP1,1
ENSG00000049449.10,RCN1,1
ENSG00000049540.18,ELN,1
ENSG00000049541.11,RFC2,1
ENSG00000049618.24,ARID1B,1
ENSG00000049656.14,CLPTM1L,1
ENSG00000049759.19,NEDD4L,1
ENSG00000049768.16,FOXP3,1
ENSG00000049769.14,PPP1R3F,1
ENSG00000049860.14,HEXB,1
ENSG00000049883.15,PTCD2,1
ENSG00000050030.16,NEXMIF,1
ENSG00000050130.18,JKAMP,1
ENSG00000050165.18,DKK3,1
ENSG00000050327.15,ARHGEF5,1
ENSG00000050344.9,NFE2L3,1
ENSG00000050393.11,MCUR1,1
ENSG00000050405.13,LIMA1,1
ENSG00000050426.16,LETMD1,1
ENSG00000050438.17,SLC4A8,1
ENSG00000050555.19,LAMC3,1
ENSG00000050628.20,PTGER3,1
ENSG00000050730.16,TNIP3,1
ENSG00000050748.18,MAPK9,1
ENSG00000050767.17,COL23A1,1
ENSG00000050820.17,BCAR1,1
ENSG00000051009.11,FAM160A2,1
ENSG00000051108.15,HERPUD1,1
ENSG00000051128.19,HOMER3,1
ENSG00000051180.17,RAD51,1
ENSG00000051341.14,POLQ,1
ENSG00000051382.9,PIK3CB,1
ENSG00000051523.11,CYBA,1
ENSG00000051596.10,THOC3,1
ENSG00000051620.11,HEBP2,1
ENSG00000051825.15,MPHOSPH9,1
ENSG00000052126.14,PLEKHA5,1
ENSG00000052344.16,PRSS8,1
ENSG00000052723.12,SIKE1,1
ENSG00000052749.14,RRP12,1
ENSG00000052795.13,FNIP2,1
ENSG00000052802.13,MSMO1,1
ENSG00000052841.15,TTC17,1
ENSG00000052850.8,ALX4,1
ENSG00000053108.17,FSTL4,1
ENSG00000053254.16,FOXN3,1
ENSG00000053328.8,METTL24,1
ENSG00000053371.12,AKR7A2,1
ENSG00000053372.5,MRTO4,1
ENSG00000053438.11,NNAT,1
ENSG00000053501.13,USE1,1
ENSG00000053524.12,MCF2L2,1
ENSG00000053702.15,NRIP2,1
ENSG00000053747.17,LAMA3,1
ENSG00000053770.12,AP5M1,1
ENSG00000053900.11,ANAPC4,1
ENSG00000053918.18,KCNQ1,1
ENSG00000054116.12,TRAPPC3,1
ENSG00000054118.15,THRAP3,1
ENSG00000054148.18,PHPT1,1
ENSG00000054179.12,ENTPD2,1
ENSG00000054219.11,LY75,1
ENSG00000054267.22,ARID4B,1
ENSG00000054277.14,OPN3,1
ENSG00000054282.16,SDCCAG8,1
ENSG00000054356.14,PTPRN,1
